,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,20200405,56,332308,1429724,17307,23061.0,41372.0,5497.0,913.0,612.0,193.0,14486.0,a5f1f58fe74620c89cde687c8beae82629c8b1e0,2020-04-05T20:00:00Z,9498,41372.0,1779339,1762032,1762032,1184.0,2970.0,111672.0,26553.0,138225.0
1,20200404,56,305755,1318052,15573,22158.0,38402.0,5207.0,691.0,656.0,154.0,12784.0,767639d13287efa1c97cfbd3bad25cf86f3abe3f,2020-04-04T20:00:00Z,8314,38402.0,1639380,1623807,1623807,1352.0,2411.0,193178.0,33767.0,226945.0
2,20200403,56,271988,1124874,61980,19926.0,35991.0,4686.0,593.0,70.0,728.0,10422.0,84aeafb22248100db60b520b80e1ebaddb3a8241,2020-04-03T20:00:00Z,6962,35991.0,1458842,1396862,1396862,1178.0,3342.0,96225.0,32889.0,129114.0
3,20200402,56,239099,1028649,62101,17157.0,32649.0,4264.0,541.0,67.0,661.0,8586.0,797cc5a245becce7bb5b53fa71914179853c5fea,2020-04-02T20:00:00Z,5784,32649.0,1329849,1267748,1267748,1084.0,1507.0,89459.0,28283.0,117742.0
4,20200401,56,210816,939190,59669,16223.0,31142.0,3837.0,4270.0,71.0,676.0,7084.0,e20b7b16404d0d383179398354cb064f258af85c,2020-04-01T20:00:00Z,4700,31142.0,1209675,1150006,1150006,954.0,4482.0,74989.0,26133.0,101122.0
5,20200331,56,184683,864201,59518,14236.0,26660.0,3402.0,3644.0,69.0,507.0,5666.0,8bcd5e8ad67693c2bf4e555c11a4e21806bf7f63,2020-03-31T20:00:00Z,3746,26660.0,1108402,1048884,1048884,807.0,4357.0,79877.0,24153.0,104030.0
6,20200330,56,160530,784324,65369,12147.0,22303.0,2982.0,3177.0,259.0,644.0,4560.0,d5ac51ec9c320afbb542671d31570464c9fe871c,2020-03-30T20:00:00Z,2939,22303.0,1010223,944854,944854,511.0,2902.0,92034.0,21469.0,113503.0
7,20200329,56,139061,692290,65545,9922.0,19401.0,2456.0,2642.0,59.0,440.0,4061.0,63181bc5ae742585dde8460c00404379dc36369d,2020-03-29T20:00:00Z,2428,19401.0,896896,831351,831351,463.0,3038.0,74820.0,20827.0,95647.0
8,20200328,56,118234,617470,65709,8725.0,16363.0,2174.0,2314.0,54.0,390.0,3148.0,fc55e1a4d670f1cc3ae3286f4ea0da00029417ba,2020-03-28T20:00:00Z,1965,16363.0,801413,735704,735704,435.0,2955.0,90250.0,18821.0,109071.0
9,20200327,56,99413,527220,60091,7532.0,13408.0,1792.0,1916.0,54.0,324.0,2422.0,97337e50af78cd2146d42a5eb9d49c861efcf433,2020-03-27T20:00:00Z,1530,13408.0,686724,626633,626633,367.0,3277.0,88617.0,18678.0,107295.0
10,20200326,56,80735,438603,60251,5441.0,10131.0,1299.0,1412.0,19.0,258.0,97.0,664168bb7db62697002a5e5eb7c2ec351008c21a,2020-03-26T20:00:00Z,1163,10131.0,579589,519338,519338,263.0,3995.0,80999.0,16807.0,97806.0
11,20200325,56,63928,357604,51235,96.0,6136.0,,74.0,4.0,167.0,147.0,3f701aee29b4085d9ea4a4a933f8586e9f92e734,2020-03-25T20:00:00Z,900,6136.0,472767,421532,421532,225.0,1668.0,64826.0,11974.0,76800.0
12,20200324,56,51954,292778,14433,,4468.0,,,,,,00df9b5647983172a9d54e53c63eed93fc742302,2020-03-24T20:00:00Z,675,4468.0,359165,344732,344732,204.0,1143.0,55457.0,9802.0,65259.0
13,20200323,56,42152,237321,14571,,3325.0,,,,,,a6a8ce2a4ed6f40bbb366403972a035ae0fc1c21,2020-03-23T20:00:00Z,471,3325.0,294044,279473,279473,73.0,771.0,43858.0,10273.0,54131.0
14,20200322,56,31879,193463,2842,,2554.0,,,,,,9620a1999ac00273f3792d6e43a34c76d7fa2071,2020-03-22T20:00:00Z,398,2554.0,228184,225342,225342,126.0,590.0,37554.0,8682.0,46236.0
15,20200321,56,23197,155909,3468,,1964.0,,,,,,44c8ed505be8218e98e426c710f0156fba013f83,2020-03-21T20:00:00Z,272,1964.0,182574,179106,179106,53.0,1964.0,37762.0,6164.0,43926.0
16,20200320,56,17033,118147,3327,,,,,,,,4ebd67eff848139fd9b390c30fd41a01b56874ae,2020-03-20T20:00:00Z,219,,138507,135180,135180,59.0,0.0,28994.0,5314.0,34308.0
17,20200319,56,11719,89153,3016,,,,,,,,4c32ae0e6e80eac47fff3f91d5a9ef779fd4613c,2020-03-19T20:00:00Z,160,,103888,100872,100872,48.0,0.0,22928.0,3989.0,26917.0
18,20200318,56,7730,66225,2526,,,,,,,,871a20ad603ea150616036b11341c75615aa11bf,2020-03-18T20:00:00Z,112,,76481,73955,73955,22.0,0.0,18621.0,2008.0,20629.0
19,20200317,56,5722,47604,1687,,,,,,,,792087734b6ed4c4c590696275df0ad9f60e1cde,2020-03-17T20:00:00Z,90,,55013,53326,53326,19.0,0.0,11500.0,1703.0,13203.0
20,20200316,56,4019,36104,1691,,,,,,,,d9c5bbd9135c7632f14bcdf2b86c9207eeccfd61,2020-03-16T20:00:00Z,71,,41814,40123,40123,11.0,0.0,13553.0,846.0,14399.0
21,20200315,51,3173,22551,2242,,,,,,,,24de57a098fb75e69bfd9d2aabadfa8571f3477a,2020-03-15T20:00:00Z,60,,27966,25724,25724,11.0,0.0,5449.0,723.0,6172.0
22,20200314,51,2450,17102,1236,,,,,,,,7e3cb258bab724a5ac3860e380a364fc6dbd4e3d,2020-03-14T20:00:00Z,49,,20788,19552,19552,10.0,0.0,3489.0,528.0,4017.0
23,20200313,51,1922,13613,1130,,,,,,,,74abbd15c48acce9cd5183f069259a57e15b8570,2020-03-13T20:00:00Z,39,,16665,15535,15535,3.0,0.0,5572.0,607.0,6179.0
24,20200312,51,1315,8041,673,,,,,,,,f7efcbf1eb651971187c29a3774c6097dfb4242c,2020-03-12T20:00:00Z,36,,10029,9356,9356,9.0,0.0,1971.0,261.0,2232.0
25,20200311,51,1054,6070,563,,,,,,,,80c419d4ef9be651f5c9a114b32b6b1ba63a656a,2020-03-11T20:00:00Z,27,,7687,7124,7124,3.0,0.0,2263.0,276.0,2539.0
26,20200310,51,778,3807,469,,,,,,,,e9ca490385a80989dd25fa32122e17963bb42fd2,2020-03-10T20:00:00Z,24,,5054,4585,4585,2.0,0.0,440.0,194.0,634.0
27,20200309,51,584,3367,313,,,,,,,,40bc45151f3b3b7fff9ff140e4cdc21c0e606a78,2020-03-09T20:00:00Z,22,,4264,3951,3951,4.0,0.0,1032.0,167.0,1199.0
28,20200308,51,417,2335,347,,,,,,,,0e305354b4438fd9654fa273f2cac2e16dda8141,2020-03-08T20:00:00Z,18,,3099,2752,2752,2.0,0.0,526.0,76.0,602.0
29,20200307,51,341,1809,602,,,,,,,,7dc6e6af9840a568e44203411c9dcc9e0d157467,2020-03-07T21:00:00Z,16,,2752,2150,2150,2.0,0.0,238.0,118.0,356.0
30,20200306,36,223,1571,458,,,,,,,,65a6dc227c665214061a64d17d390fe034ce0dda,2020-03-06T21:00:00Z,14,,2252,1794,1794,3.0,0.0,618.0,47.0,665.0
31,20200305,24,176,953,197,,,,,,,,ace27afadd2ea2bfa761797ba64737d5e760c571,2020-03-05T21:00:00Z,11,,1326,1129,1129,1.0,0.0,205.0,58.0,263.0
32,20200304,14,118,748,103,,,,,,,,e7926536b12fc8acbeb288e6dd68b315451ddce6,2020-03-04T21:00:00Z,10,,969,866,866,,,,,
