,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
0,World,"1,289,195","16,333","70,607","1,182","272,074","946,514","46,066",165,9.1,,
1,USA,"337,392",719,"9,652 ",36,"17,977","309,763","8,702","1,019",29,"1,774,646","5,361"
2,Spain,"135,032","3,386","13,055 ",414,"40,437","81,540","6,931","2,888",279,"355,000","7,593"
3,Italy,"128,948",,"15,887 ",,"21,815","91,246","3,977","2,133",263,"691,461","11,436"
4,Germany,"100,315",192,"1,597 ",13,"28,700","70,018","3,936","1,197",19,"918,460","10,962"
5,France,"92,839",,"8,078 ",,"16,183","68,578","6,838","1,422",124,"224,254","3,436"
6,China,"81,708",39,"3,331 ",2,"77,078","1,299",265,57,2,,
7,Iran,"60,500","2,274","3,739 ",136,"24,236","32,525","4,083",720,45,"186,000","2,214"
8,UK,"47,806",,"4,934 ",,135,"42,737","1,559",704,73,"195,524","2,880"
9,Turkey,"27,069",,574 ,,"1,042","25,453","1,381",321,7,"181,445","2,151"
10,Switzerland,"21,652",552,734 ,19,"7,298","13,620",391,"2,502",85,"162,500","18,776"
11,Belgium,"20,814","1,123","1,632 ",185,"3,986","15,196","1,257","1,796",141,"70,000","6,040"
12,Netherlands,"18,803",952,"1,867 ",101,250,"16,686","1,385","1,097",109,"75,415","4,401"
13,Canada,"15,512",,280 ,,"2,942","12,290",426,411,7,"330,901","8,767"
14,Austria,"12,236",185,220 ,16,"3,463","8,553",250,"1,359",24,"111,296","12,357"
15,Portugal,"11,730",452,311 ,16,140,"11,279",270,"1,150",31,"91,794","9,002"
16,Brazil,"11,450",196,491 ,5,127,"10,832",296,54,2,"54,824",258
17,S. Korea,"10,284",47,186 ,3,"6,598","3,500",55,201,4,"461,233","8,996"
18,Israel,"8,611",181,55 ,6,585,"7,971",141,995,6,"109,724","12,677"
19,Sweden,"7,206",376,477 ,76,205,"6,524",590,714,47,"36,900","3,654"
20,Russia,"6,343",954,47 ,2,406,"5,890",8,43,0.3,"758,000","5,194"
21,Australia,"5,795",45,41 ,4,"2,432","3,322",96,227,2,"302,663","11,869"
22,Norway,"5,760",73,74 ,3,32,"5,654",83,"1,062",14,"111,299","20,530"
23,Ireland,"4,994",,158 ,,25,"4,811",165,"1,011",32,"30,213","6,119"
24,Denmark,"4,647",278,187 ,8,"1,378","3,082",144,802,32,"49,249","8,503"
25,Czechia,"4,591",4,72 ,5,96,"4,423",84,429,7,"85,014","7,939"
26,India,"4,553",264,118 ,,328,"4,107",,3,0.09,"140,293",102
27,Chile,"4,471",,34 ,,618,"3,819",307,234,2,"51,956","2,718"
28,Poland,"4,201",99,98 ,4,162,"3,941",50,111,3,"85,467","2,258"
29,Romania,"4,057",193,162 ,11,406,"3,489",179,211,8,"40,987","2,131"
30,Malaysia,"3,793",131,62 ,1,"1,241","2,490",102,117,2,"55,566","1,717"
31,Philippines,"3,660",414,163 ,11,73,"3,424",1,33,1,"22,958",210
32,Japan,"3,654",,85 ,,575,"2,994",69,29,0.7,"44,639",353
33,Ecuador,"3,646",,180 ,,100,"3,366",100,207,10,"12,386",702
34,Pakistan,"3,277",120,50 ,3,257,"2,970",17,15,0.2,"35,875",162
35,Luxembourg,"2,804",,36 ,,500,"2,268",33,"4,479",58,"23,687","37,840"
36,Saudi Arabia,"2,523",121,38 ,4,551,"1,934",41,72,1,,
37,Indonesia,"2,491",218,209 ,11,192,"2,090",,9,0.8,"9,712",36
38,Peru,"2,281",,83 ,,989,"1,209",81,69,3,"19,410",589
39,Thailand,"2,220",51,26 ,3,793,"1,401",23,32,0.4,"25,071",359
40,Serbia,"2,200",292,58 ,7,54,"2,088",101,252,7,"8,552",979
41,Finland,"2,176",249,27 ,-1,300,"1,849",81,393,5,"32,800","5,920"
42,Mexico,"2,143",253,94 ,15,633,"1,416",293,17,0.7,"18,034",140
43,UAE,"2,076",277,11 ,1,167,"1,898",1,210,1,"220,000","22,244"
44,Panama,"1,988",187,54 ,8,13,"1,921",78,461,13,"9,749","2,259"
45,Dominican Republic,"1,745",,82 ,,17,"1,646",147,161,8,"4,542",419
46,Greece,"1,735",,76 ,3,78,"1,581",93,166,7,"25,453","2,442"
47,South Africa,"1,655",,11 ,,95,"1,549",7,28,0.2,"56,873",959
48,Qatar,"1,604",,4 ,,123,"1,477",37,557,1,"35,757","12,411"
49,Iceland,"1,562",76,4 ,,460,"1,098",12,"4,577",12,"25,394","74,416"
50,Argentina,"1,554",,48 ,2,325,"1,181",94,34,1,"8,488",188
51,Colombia,"1,485",,35 ,,88,"1,362",50,29,0.7,"23,706",466
52,Algeria,"1,320",,152 ,,90,"1,078",46,30,3,"3,359",77
53,Ukraine,"1,319",11,38 ,1,28,"1,253",16,30,0.9,"5,864",134
54,Singapore,"1,309",,6 ,,320,983,25,224,1,"40,000","6,837"
55,Croatia,"1,222",40,16 ,1,130,"1,076",36,298,4,"11,464","2,793"
56,Egypt,"1,173",,78 ,,247,848,,11,0.8,"25,000",244
57,Morocco,"1,113",92,71 ,1,76,966,1,30,2,"5,067",137
58,Estonia,"1,108",11,19 ,4,62,"1,027",14,835,14,"21,866","16,484"
59,New Zealand,"1,106",67,1 ,,176,929,3,229,0.2,"39,918","8,278"
60,Slovenia,"1,021",24,30 ,2,102,889,30,491,14,"28,253","13,590"
61,Moldova,965,101,19 ,4,37,909,80,239,5,,
62,Iraq,961,,61 ,,279,621,,24,2,,
63,Hong Kong,915,24,4 ,,216,695,12,122,0.5,"96,709","12,900"
64,Lithuania,843,32,14 ,1,8,821,11,310,5,"25,599","9,403"
65,Armenia,833,11,8 ,1,62,763,30,281,3,"4,929","1,663"
66,Hungary,744,11,38 ,4,67,639,17,77,4,"22,282","2,307"
67,Bahrain,723,23,4 ,,451,268,4,425,2,"46,999","27,621"
68,Diamond Princess,712,,11 ,,619,82,10,,,,
69,Belarus,700,138,13 ,5,53,634,11,74,1,"40,000","4,233"
70,Bosnia and Herzegovina,674,20,29 ,6,47,598,4,205,9,"5,934","1,809"
71,Kuwait,665,109,1 ,,103,561,20,156,0.2,,
72,Cameroon,658,8,9 ,,17,632,,25,0.3,,
73,Azerbaijan,641,57,7 ,,44,590,11,63,0.7,"45,000","4,438"
74,Kazakhstan,629,45,6 ,,45,578,16,33,0.3,"5,093",271
75,Tunisia,574,,22 ,,5,547,39,49,2,"7,145",605
76,North Macedonia,555,,18 ,,23,514,15,266,9,"5,291","2,540"
77,Latvia,542,9,1  ,,16,525,5,287,0.5,"21,453","11,374"
78,Bulgaria,541,10,21 ,1,39,481,22,78,3,"15,899","2,288"
79,Lebanon,541,14,19 ,1,60,462,27,79,3,"9,653","1,414"
80,Slovakia,534,49,1 ,,8,525,3,98,0.2,"16,191","2,966"
81,Andorra,501,,18 ,,26,457,12,"6,484",233,,
82,Costa Rica,454,,2 ,,16,436,14,89,0.4,"5,098","1,001"
83,Cyprus,446,,9 ,,37,400,11,369,7,"10,946","9,066"
84,Uruguay,406,,6 ,,104,296,14,117,2,"5,208","1,499"
85,Uzbekistan,390,48,2 ,,30,358,8,12,0.06,,
86,Albania,377,16,21 ,1,116,240,7,131,7,"2,571",893
87,Taiwan,373,10,5 ,,57,311,,16,0.2,"37,219","1,563"
88,Afghanistan,367,18,7 ,,17,343,,9,0.2,,
89,Burkina Faso,345,,17 ,,90,238,,17,0.8,,
90,Jordan,345,,5 ,,110,230,5,34,0.5,,
91,Réunion,344,, ,,40,304,4,384,,,
92,Oman,331,33,2 ,,61,268,3,65,0.4,,
93,Cuba,320,,8 ,,15,297,11,28,0.7,"5,234",462
94,Channel Islands,309,,6 ,,27,276,,"1,777",35,,
95,Honduras,298,30,22 ,,6,270,10,30,2,,
96,San Marino,266,,32 ,,35,199,14,"7,839",943,586,"17,270"
97,Ivory Coast,261,,3 ,,37,221,,10,0.1,,
98,Palestine,252,15,1 ,,25,226,,49,0.2,"12,738","2,497"
99,Vietnam,245,4, ,,95,150,8,3,,"94,305",969
100,Mauritius,244,17,7 ,,7,230,1,192,6,,
101,Malta,241,14, ,,5,236,3,546,,"10,358","23,459"
102,Nigeria,232,,5 ,,33,194,2,1,0.02,"4,000",19
103,Senegal,226,4,2 ,,92,132,1,13,0.1,,
104,Montenegro,223,9,2 ,,1,220,4,355,3,"1,637","2,606"
105,Kyrgyzstan,216,69,4 ,3,33,179,5,33,0.6,"9,618","1,474"
106,Ghana,214,,5 ,,31,178,2,7,0.2,,
107,Georgia,188,14,2 ,,36,150,6,47,0.5,"2,762",692
108,Niger,184,,10 ,,13,161,,8,0.4,"4,012",166
109,Bolivia,183,26,11 ,1,2,170,3,16,0.9,591,51
110,Faeroe Islands,183,2, ,,107,76,1,"3,745",,"4,934","100,976"
111,Sri Lanka,178,2,5  ,,38,135,5,8,0.2,"3,248",152
112,Venezuela,159,,7 ,,52,100,6,6,0.2,"1,779",63
113,Kenya,158,16,6 ,2,4,148,2,3,0.1,"4,000",74
114,DRC,154,,18 ,,3,133,,2,0.2,,
115,Martinique,149,,4 ,,50,95,21,397,11,,
116,Mayotte,147,,2 ,,14,131,3,539,7,479,"1,756"
117,Isle of Man,138,11,1 ,,,137,,"1,623",12,"1,446","17,005"
118,Guadeloupe,135,,7 ,,31,97,14,337,17,,
119,Brunei ,135,,1 ,,82,52,3,309,2,"8,261","18,883"
120,Bangladesh,123,35,12 ,3,33,78,1,0.7,0.07,"2,914",18
121,Guinea,121,, ,,5,116,,9,,,
122,Cambodia,114,, ,,53,61,1,7,,"5,768",345
123,Paraguay,113,9,5 ,2,12,96,8,16,0.7,"1,877",263
124,Trinidad and Tobago,105,1,8 ,1,1,96,,75,6,833,595
125,Rwanda,104,, ,,4,100,,8,,,
126,Gibraltar,103,, ,,52,51,,"3,057",,"1,345","39,922"
127,Liechtenstein,77,,1 ,,,76,,"2,020",26,900,"23,605"
128,Monaco,73,,1 ,,3,69,4,"1,860",25,,
129,Madagascar,72,, ,,2,70,6,3,,,
130,Guatemala,70,,3 ,,15,52,3,4,0.2,"1,134",63
131,El Salvador,69,7,3 ,,2,64,4,11,0.5,,
132,French Guiana,68,, ,,27,41,1,228,,,
133,Aruba,64,, ,,1,63,,599,,869,"8,139"
134,Djibouti,59,, ,,9,50,,60,,,
135,Jamaica,58,,3 ,,8,47,,20,1,540,182
136,Barbados,56,,1 ,,6,49,4,195,3,527,"1,834"
137,Togo,52,8,3 ,,22,27,,6,0.4,,
138,Uganda,52,, ,,,52,,1,,"2,629",57
139,Mali,47,2,5 ,,1,41,,2,0.2,,
140,Congo,45,,5 ,,2,38,,8,0.9,,
141,Ethiopia,44,1,2 ,,4,38,1,0.4,0.02,"1,843",16
142,Macao,44,, ,,10,34,,68,,,
143,French Polynesia,41,, ,,,41,,146,,612,"2,179"
144,Cayman Islands,39,,1 ,,1,37,,593,15,365,"5,554"
145,Zambia,39,,1 ,,3,35,,2,0.05,619,34
146,Sint Maarten,37,12,6 ,2,1,30,,863,140,105,"2,449"
147,Bermuda,37,, ,,14,23,,594,,298,"4,785"
148,Saint Martin,32,,2 ,,7,23,6,828,52,,
149,Bahamas,29,,5 ,,4,20,1,74,13,,
150,Guyana,29,5,4 ,,,25,,37,5,110,140
151,Eritrea,29,, ,,,29,,8,,,
152,Gabon,24,3,1 ,,1,22,,11,0.4,,
153,Tanzania,24,2,1 ,,3,20,,0.4,0.02,,
154,Benin,22,,1 ,1,5,16,,2,0.08,,
155,Haiti,21,,1 ,,1,19,,2,0.09,247,22
156,Myanmar,21,,1 ,,,20,,0.4,0.02,"1,246",23
157,Syria,19,,2 ,,2,15,,1,0.1,,
158,Maldives,19,, ,,13,6,,35,,,
159,Libya,18,,1 ,,,17,,3,0.1,294,43
160,Guinea-Bissau,18,, ,,,18,,9,,,
161,New Caledonia,18,, ,,1,17,,63,,"1,983","6,946"
162,Equatorial Guinea,16,, ,,1,15,,11,,,
163,Namibia,16,, ,,3,13,,6,,301,118
164,Antigua and Barbuda,15,, ,,,15,1,153,,40,408
165,Mongolia,15,1, ,,2,13,,5,,,
166,Angola,14,,2 ,,2,10,,0.4,0.06,,
167,Dominica,14,, ,,,14,,194,,255,"3,542"
168,Fiji,14,2, ,,,14,,16,,,
169,Saint Lucia,14,, ,,1,13,,76,,,
170,Liberia,13,,3 ,,3,7,,3,0.6,,
171,Sudan,12,,2 ,,2,8,,0.3,0.05,,
172,Grenada,12,, ,,,12,2,107,,45,400
173,Laos,12,1, ,,,12,,2,,621,85
174,Curaçao,11,,1 ,,5,5,,67,6,,
175,Greenland,11,, ,,3,8,,194,,542,"9,547"
176,Suriname,10,,1 ,,,9,,17,2,,
177,Mozambique,10,, ,,1,9,,0.3,,363,12
178,Saint Kitts and Nevis,10,, ,,,10,,188,,149,"2,801"
179,Seychelles,10,, ,,,10,,102,,,
180,Eswatini,10,1, ,,,10,,9,,,
181,MS Zaandam,9,,2 ,,,7,,,,,
182,Zimbabwe,9,,1 ,,,8,,0.6,0.07,316,21
183,Nepal,9,, ,,1,8,,0.3,,"1,656",57
184,Chad,9,, ,,,9,,0.5,,,
185,CAR,8,, ,,,8,,2,,,
186,Cabo Verde,7,,1 ,,1,5,,13,2,,
187,Vatican City,7,, ,,,7,,"8,739",,,
188,St. Vincent Grenadines,7,, ,,1,6,,63,,,
