,Country,Data Type,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30
0,USA,Cumulative Confirmed (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,35,35,35,53,57,60,60,63,68,75,100,124,158,221,319,435,541,704,994,1301,1630,2183,2770,3613,4596,6344,9197,13779,19367,24192,33592,43781,54856,68211,85435,104126,123578,143491,163788
1,USA,Cumulative Confirmed (Linear),,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,35,35,35,53,57,60,60,63,68,75,100,124,158,221,319,435,541,704,994,1301,1630,2183,2770,3613,4596,6344,9197,13779,19367,24192,33592,43781,54856,68211,85435,104126,123578,143491,163788
2,USA,Daily New Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,0,0,0,0,0,20,0,0,18,4,3,0,3,5,7,25,24,34,63,98,116,106,163,290,307,329,553,587,843,983,1748,2853,4582,5588,4825,9400,10189,11075,13355,17224,18691,19452,19913,20297
3,USA,Daily Current Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,10,29,29,28,48,51,54,54,57,60,65,85,106,138,200,289,401,504,663,949,1248,1581,2126,2664,3484,4434,6127,8940,13464,18965,23720,33000,42930,53697,66790,82272,99909,118127,136349,155141
4,USA,Cumulative Deaths (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,11,12,15,19,22,26,30,38,41,48,57,69,87,110,150,206,255,301,414,555,780,1027,1295,1695,2220,2583,3141
5,USA,Cumulative Deaths (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,11,12,15,19,22,26,30,38,41,48,57,69,87,110,150,206,255,301,414,555,780,1027,1295,1695,2220,2583,3141
6,USA,Daily New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,2,1,3,4,3,4,4,8,3,7,9,12,18,23,40,56,49,46,113,141,225,247,268,400,525,363,558
7,Italy,Current Active Cases (Linear),,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,4,19,75,152,221,310,455,593,822,1049,1577,1835,2263,2706,3296,3916,5061,6387,7985,8514,10590,12839,14955,17750,20603,23073,26062,28710,33190,37860,42681,46638,50418,54030,57521,62013,66414,70065,73880,75528
8,Italy,Closed Cases - Death Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"""nan""","""nan""",50,50,60,87.5,84.6200000000000045474735088646411895751953125,80,27.4200000000000017053025658242404460906982421875,31.339999999999999857891452847979962825775146484375,36.71000000000000085265128291212022304534912109375,33.06000000000000227373675443232059478759765625,25.870000000000000994759830064140260219573974609375,33.0499999999999971578290569595992565155029296875,27.940000000000001278976924368180334568023681640625,26.3299999999999982946974341757595539093017578125,27.3599999999999994315658113919198513031005859375,28.35000000000000142108547152020037174224853515625,37.03999999999999914734871708787977695465087890625,39.00999999999999801048033987171947956085205078125,38.590000000000003410605131648480892181396484375,44.17999999999999971578290569595992565155029296875,44.67999999999999971578290569595992565155029296875,46.7999999999999971578290569595992565155029296875,42.2999999999999971578290569595992565155029296875,43.64999999999999857891452847979962825775146484375,43.97999999999999687361196265555918216705322265625,45.97999999999999687361196265555918216705322265625,42.52000000000000312638803734444081783294677734375,43.39999999999999857891452847979962825775146484375,44.00999999999999801048033987171947956085205078125,44.280000000000001136868377216160297393798828125,43.81000000000000227373675443232059478759765625,44.97999999999999687361196265555918216705322265625,45.030000000000001136868377216160297393798828125,44.49000000000000198951966012828052043914794921875,44.219999999999998863131622783839702606201171875,45.47999999999999687361196265555918216705322265625,44.72999999999999687361196265555918216705322265625,45.27000000000000312638803734444081783294677734375,44.219999999999998863131622783839702606201171875
9,Italy,Closed Cases - Recovery Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,"""nan""","""nan""",50,50,40,12.5,15.3800000000000007815970093361102044582366943359375,20,72.5799999999999982946974341757595539093017578125,68.659999999999996589394868351519107818603515625,63.28999999999999914734871708787977695465087890625,66.93999999999999772626324556767940521240234375,74.1299999999999954525264911353588104248046875,66.9500000000000028421709430404007434844970703125,72.06000000000000227373675443232059478759765625,73.6700000000000017053025658242404460906982421875,72.6400000000000005684341886080801486968994140625,71.650000000000005684341886080801486968994140625,62.96000000000000085265128291212022304534912109375,60.99000000000000198951966012828052043914794921875,61.409999999999996589394868351519107818603515625,55.82000000000000028421709430404007434844970703125,55.32000000000000028421709430404007434844970703125,53.2000000000000028421709430404007434844970703125,57.7000000000000028421709430404007434844970703125,56.35000000000000142108547152020037174224853515625,56.02000000000000312638803734444081783294677734375,54.02000000000000312638803734444081783294677734375,57.47999999999999687361196265555918216705322265625,56.60000000000000142108547152020037174224853515625,55.99000000000000198951966012828052043914794921875,55.719999999999998863131622783839702606201171875,56.18999999999999772626324556767940521240234375,55.02000000000000312638803734444081783294677734375,54.969999999999998863131622783839702606201171875,55.50999999999999801048033987171947956085205078125,55.780000000000001136868377216160297393798828125,54.52000000000000312638803734444081783294677734375,55.27000000000000312638803734444081783294677734375,54.72999999999999687361196265555918216705322265625,55.780000000000001136868377216160297393798828125
