,Id,Province_State,Country_Region,Date,ConfirmedCases,Fatalities,Median_Age,Population,Population_Density
0,1,,Afghanistan,2020-01-22,0.0,0.0,18,38928346,60
1,2,,Afghanistan,2020-01-23,0.0,0.0,18,38928346,60
2,3,,Afghanistan,2020-01-24,0.0,0.0,18,38928346,60
3,4,,Afghanistan,2020-01-25,0.0,0.0,18,38928346,60
4,5,,Afghanistan,2020-01-26,0.0,0.0,18,38928346,60
5,6,,Afghanistan,2020-01-27,0.0,0.0,18,38928346,60
6,7,,Afghanistan,2020-01-28,0.0,0.0,18,38928346,60
7,8,,Afghanistan,2020-01-29,0.0,0.0,18,38928346,60
8,9,,Afghanistan,2020-01-30,0.0,0.0,18,38928346,60
9,10,,Afghanistan,2020-01-31,0.0,0.0,18,38928346,60
10,11,,Afghanistan,2020-02-01,0.0,0.0,18,38928346,60
11,12,,Afghanistan,2020-02-02,0.0,0.0,18,38928346,60
12,13,,Afghanistan,2020-02-03,0.0,0.0,18,38928346,60
13,14,,Afghanistan,2020-02-04,0.0,0.0,18,38928346,60
14,15,,Afghanistan,2020-02-05,0.0,0.0,18,38928346,60
15,16,,Afghanistan,2020-02-06,0.0,0.0,18,38928346,60
16,17,,Afghanistan,2020-02-07,0.0,0.0,18,38928346,60
17,18,,Afghanistan,2020-02-08,0.0,0.0,18,38928346,60
18,19,,Afghanistan,2020-02-09,0.0,0.0,18,38928346,60
19,20,,Afghanistan,2020-02-10,0.0,0.0,18,38928346,60
20,21,,Afghanistan,2020-02-11,0.0,0.0,18,38928346,60
21,22,,Afghanistan,2020-02-12,0.0,0.0,18,38928346,60
22,23,,Afghanistan,2020-02-13,0.0,0.0,18,38928346,60
23,24,,Afghanistan,2020-02-14,0.0,0.0,18,38928346,60
24,25,,Afghanistan,2020-02-15,0.0,0.0,18,38928346,60
25,26,,Afghanistan,2020-02-16,0.0,0.0,18,38928346,60
26,27,,Afghanistan,2020-02-17,0.0,0.0,18,38928346,60
27,28,,Afghanistan,2020-02-18,0.0,0.0,18,38928346,60
28,29,,Afghanistan,2020-02-19,0.0,0.0,18,38928346,60
29,30,,Afghanistan,2020-02-20,0.0,0.0,18,38928346,60
30,31,,Afghanistan,2020-02-21,0.0,0.0,18,38928346,60
31,32,,Afghanistan,2020-02-22,0.0,0.0,18,38928346,60
32,33,,Afghanistan,2020-02-23,0.0,0.0,18,38928346,60
33,34,,Afghanistan,2020-02-24,1.0,0.0,18,38928346,60
34,35,,Afghanistan,2020-02-25,1.0,0.0,18,38928346,60
35,36,,Afghanistan,2020-02-26,1.0,0.0,18,38928346,60
36,37,,Afghanistan,2020-02-27,1.0,0.0,18,38928346,60
37,38,,Afghanistan,2020-02-28,1.0,0.0,18,38928346,60
38,39,,Afghanistan,2020-02-29,1.0,0.0,18,38928346,60
39,40,,Afghanistan,2020-03-01,1.0,0.0,18,38928346,60
40,41,,Afghanistan,2020-03-02,1.0,0.0,18,38928346,60
41,42,,Afghanistan,2020-03-03,1.0,0.0,18,38928346,60
