,state,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked,notes,hash
0,AK,285,1.0,1.0,1.0,1.0,A,4.0,8063,,,32.0,,,,,98.0,4/14 14:15,4/14 15:08,9.0,32.0,8348,8348,8348,2,2020-04-14T18:15:00Z,2020-04-14T19:08:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",6164f73886cfabe73c7c9fad56709e2b57f5c334
1,AL,3970,1.0,1.0,0.0,1.0,B,3.0,29865,,,525.0,,210.0,,132.0,,4/15 00:00,4/15 09:55,115.0,525.0,33835,33835,33835,1,2020-04-15T04:00:00Z,2020-04-15T13:55:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2dab6de145d16f938695f242e03776d082599021
2,AR,1480,1.0,1.0,1.0,1.0,A,4.0,19651,,81.0,130.0,,43.0,29.0,39.0,427.0,4/14 14:46,4/14 15:12,30.0,130.0,21131,21131,21131,5,2020-04-14T18:46:00Z,2020-04-14T19:12:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",3a7c804cd01d3eaad04b7b28774f955dd2129c69
3,AZ,3806,1.0,1.0,0.0,1.0,B,3.0,40290,,580.0,,286.0,,216.0,,249.0,4/14 00:00,4/14 15:23,131.0,,44096,44096,44096,4,2020-04-14T04:00:00Z,2020-04-14T19:23:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",095e72e11a4a87ffa7c0f77468bc4b449accb00d
4,CA,23338,1.0,1.0,0.0,1.0,B,3.0,192062,13200.0,5163.0,,1552.0,,,,,4/13 00:00,4/15 10:02,758.0,,228600,215400,215400,6,2020-04-13T04:00:00Z,2020-04-15T14:02:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",c61c68d40139917133b779b4ddec6de18b8794a6
5,CO,7941,1.0,1.0,1.0,1.0,A,4.0,31639,,,1556.0,,,,,,4/14 00:00,4/14 22:46,329.0,1556.0,39580,39580,39580,8,2020-04-14T04:00:00Z,2020-04-15T02:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",e19162e96225fb01cb86355d676d2c8f83a5b542
6,CT,13989,1.0,1.0,1.0,1.0,A,4.0,31852,,1779.0,,,,,,,4/14 16:00,4/15 09:40,671.0,,45841,45841,45841,9,2020-04-14T20:00:00Z,2020-04-15T13:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",cf5400e511595bc693b349621005bc5bb5ca4275
7,DC,2197,1.0,1.0,1.0,1.0,A,4.0,9460,,295.0,,95.0,,31.0,,530.0,4/14 00:00,4/15 10:08,72.0,,11657,11657,11657,11,2020-04-14T04:00:00Z,2020-04-15T14:08:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4a79bfa4a95efeb45e93181b2a1923906dee9c21
8,DE,1926,1.0,1.0,1.0,1.0,A,4.0,10943,,217.0,,,,,,319.0,4/14 17:45,4/14 22:51,43.0,,12869,12869,12869,10,2020-04-14T21:45:00Z,2020-04-15T02:51:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",35f5d83a3bdbefc98822e6c2afb5c972e1d41b79
9,FL,21628,1.0,1.0,1.0,1.0,A,4.0,183694,1305.0,,3203.0,,,,,,4/14 16:59,4/14 23:36,585.0,3203.0,206627,205322,205322,12,2020-04-14T20:59:00Z,2020-04-15T03:36:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",b1e63e8f9ec9361c275f1c05a985f0682ef7c3e4
10,GA,14578,1.0,1.0,1.0,1.0,A,4.0,47572,,,2858.0,,,,,,4/14 18:28,4/14 23:14,524.0,2858.0,62150,62150,62150,13,2020-04-14T22:28:00Z,2020-04-15T03:14:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",4f8bfde709b1ed8f68e481f40f444724354a987a
11,HI,517,1.0,1.0,1.0,1.0,A,4.0,19286,,,45.0,,,,,333.0,4/14 18:00,4/14 23:21,9.0,45.0,19803,19803,19803,15,2020-04-14T22:00:00Z,2020-04-15T03:21:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",be9ff7b9de51311a0abb728b798748a0de0b6d44
12,IA,1899,1.0,1.0,1.0,1.0,A,4.0,17467,,163.0,,73.0,,41.0,,790.0,4/14 00:00,4/14 23:44,49.0,,19366,19366,19366,19,2020-04-14T04:00:00Z,2020-04-15T03:44:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",7a4d1ccf4a155b895cf608cb3b20659a101dc3fd
13,ID,1464,1.0,1.0,1.0,1.0,A,4.0,13934,,,141.0,,43.0,,,,4/14 19:00,4/14 23:31,39.0,141.0,15398,15398,15398,16,2020-04-14T23:00:00Z,2020-04-15T03:31:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",834de590994a59867528e5fe41b1c80237e5ad3a
14,IL,23247,1.0,1.0,1.0,1.0,A,4.0,87369,,4283.0,,1189.0,,796.0,,,4/14 00:00,4/14 16:46,868.0,,110616,110616,110616,17,2020-04-14T04:00:00Z,2020-04-14T20:46:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2bb755e4cb10ac47320ac00df93d681d0ffafa67
15,IN,8527,1.0,1.0,1.0,0.0,B,3.0,37490,,,,721.0,,435.0,,,4/14 13:00,4/14 17:01,388.0,,46017,46017,46017,18,2020-04-14T17:00:00Z,2020-04-14T21:01:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",021cfe322950f8dc567e8e6c68b7606bbd5aec9d
16,KS,1426,1.0,1.0,1.0,0.0,B,3.0,12721,,,327.0,,,,,,4/14 12:00,4/14 14:21,69.0,327.0,14147,14147,14147,20,2020-04-14T16:00:00Z,2020-04-14T18:21:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",47f3a4a99eaee58d0f76c2dc733ee34dca301f90
17,KY,2210,1.0,1.0,1.0,1.0,A,4.0,25487,,305.0,687.0,137.0,263.0,,,653.0,4/14 17:00,4/14 22:45,115.0,687.0,27697,27697,27697,21,2020-04-14T21:00:00Z,2020-04-15T02:45:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",d6001278a315ef711a477e5014e5aae9c423c55c
18,LA,21518,1.0,1.0,1.0,1.0,A,4.0,96904,,1977.0,,,,436.0,,,4/13 13:00,4/14 14:43,1013.0,,118422,118422,118422,22,2020-04-13T17:00:00Z,2020-04-14T18:43:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",525873b97677665d2b95a552c54e895b1ab5e7ee
19,MA,28163,1.0,1.0,0.0,1.0,B,3.0,98388,,,2340.0,,,,,,4/14 10:00,4/14 16:05,957.0,2340.0,126551,126551,126551,25,2020-04-14T14:00:00Z,2020-04-14T20:05:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",251733a886138385bbd295cfd62afc76fa5df4e3
20,MD,10032,1.0,1.0,1.0,1.0,A,4.0,45731,,,2231.0,,,,,607.0,4/15 10:00,4/15 10:12,349.0,2231.0,55763,55763,55763,24,2020-04-15T14:00:00Z,2020-04-15T14:12:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",a2a9d87746c2da10725f6c93a9ca844d36c0fb42
21,ME,734,1.0,1.0,1.0,1.0,A,4.0,11608,,58.0,124.0,21.0,,9.0,,292.0,4/14 11:45,4/14 16:15,20.0,124.0,12342,12342,12342,23,2020-04-14T15:45:00Z,2020-04-14T20:15:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",2e8fb558f8306d7e8515d3379bd67506c8a4fbdf
22,MI,27001,1.0,1.0,0.0,1.0,B,3.0,59225,,3910.0,,1497.0,,1235.0,,452.0,4/14 11:00,4/14 15:40,1768.0,,86226,86226,86226,26,2020-04-14T15:00:00Z,2020-04-14T19:40:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",30fbe03df01713358b4c176c0b37461c954ab3e2
23,MN,1695,1.0,1.0,1.0,1.0,A,4.0,37546,,177.0,405.0,75.0,155.0,,,909.0,4/13 17:00,4/14 23:25,79.0,405.0,39241,39241,39241,27,2020-04-13T21:00:00Z,2020-04-15T03:25:00Z,"Please stop using the ""total"" field. Use ""totalTestResults"" instead.",1d7e755aeb20776ad333b837483c328708de5ed7
