,date,states,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,hash,dateChecked,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
0,20200414,56,602473,2479147.0,16615.0,54215.0,67547.0,14039.0,1715.0,5975.0,221.0,37645.0,7ea156ba5cb34498d2798ce71d9470bdbb27201b,2020-04-14T20:00:00Z,25668,67547.0,3098235,3081620,3081620,2299.0,4874.0,120915.0,25699.0,146614.0
1,20200413,56,576774,2358232.0,17159.0,50968.0,62673.0,13632.0,1628.0,6168.0,210.0,35442.0,171a7aa78e00daf2ddb2e32baedcdf1127162a17,2020-04-13T20:00:00Z,23369,62673.0,2952165,2935006,2935006,1450.0,1472.0,104166.0,24948.0,129114.0
2,20200412,56,551826,2254066.0,16419.0,51413.0,61201.0,13917.0,1455.0,5986.0,160.0,34151.0,b66df37c6be1e91d8fb155d5612a9fb3202e8e52,2020-04-12T20:00:00Z,21919,61201.0,2822311,2805892,2805892,1564.0,2652.0,111243.0,28983.0,140226.0
3,20200411,56,522843,2142823.0,16593.0,51409.0,58549.0,13563.0,1228.0,5978.0,41.0,31631.0,5e1d32c78661a97f79f0c5d122ab5e5f2342b775,2020-04-11T20:00:00Z,20355,58549.0,2682259,2665666,2665666,1867.0,2207.0,106793.0,29591.0,136384.0
4,20200410,56,493252,2036030.0,17435.0,48468.0,56342.0,12698.0,1185.0,5937.0,41.0,29054.0,f86beb2cd2a6ded90e984eac8dac94b95cf451f2,2020-04-10T20:00:00Z,18488,56342.0,2546717,2529282,2529282,2064.0,4291.0,119310.0,34617.0,153927.0
5,20200409,56,458635,1916720.0,17622.0,46676.0,52051.0,12254.0,924.0,5794.0,39.0,24869.0,c28ccfa18a90ba72c5639b6e0c3b34daf3eb4624,2020-04-09T20:00:00Z,16424,52051.0,2392977,2375355,2375355,1877.0,3134.0,128443.0,34346.0,162789.0
6,20200408,56,424289,1788277.0,17219.0,41111.0,48917.0,9932.0,1013.0,4131.0,216.0,21141.0,4bea4de1051b6959f4a5c455cb1265178421cef6,2020-04-08T20:00:00Z,14547,48917.0,2229785,2212566,2212566,1901.0,3417.0,109403.0,30133.0,139536.0
7,20200407,56,394156,1678874.0,16548.0,39677.0,45500.0,9875.0,889.0,4076.0,151.0,18477.0,5cc01d5c306ebbdf28c7ecfbc179f6bc17dbfe84,2020-04-07T20:00:00Z,12646,45500.0,2089578,2073030,2073030,1926.0,2302.0,117662.0,30437.0,148099.0
8,20200406,56,363719,1561212.0,17283.0,32210.0,43198.0,6943.0,814.0,2961.0,147.0,16584.0,232e5dbbf4efde7a8345b043402278bb3f46da6d,2020-04-06T20:00:00Z,10720,43198.0,1942214,1924931,1924931,1166.0,2975.0,120496.0,28752.0,149248.0
9,20200405,56,334967,1440716.0,17303.0,28490.0,40223.0,5677.0,760.0,652.0,147.0,14542.0,0e8a973548efc72abf730aebd2dfd8a77897cce3,2020-04-05T20:00:00Z,9554,40223.0,1792986,1775683,1775683,1175.0,2556.0,96629.0,25974.0,122603.0
