,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Continent
0,World,"2,026,822","28,962","129,099","2,499","493,708","1,404,015","51,504",260,16.6,,,All
1, Europe ,"956,663","19,375","85,762","2,044","253,970","616,931","29,014",,,,,Europe
2, North America ,"659,165","3,083","27,932",245,"50,934","580,299","14,578",,,,,North America
3,USA,"616,168","2,282","26,200 ",153,"39,676","550,292","13,473","1,862",79,"3,125,346","9,442",North America
4, Asia ,"326,301","4,950","11,890",166,"158,647","155,764","6,450",,,,,Asia
5,Spain,"177,633","3,573","18,579 ",324,"70,853","88,201","7,371","3,799",397,"600,000","12,833",Europe
6,Italy,"162,488",,"21,067 ",,"37,130","104,291","3,186","2,687",348,"1,073,689","17,758",Europe
7,France,"143,303",,"15,729 ",,"28,805","98,769","6,730","2,195",241,"333,807","5,114",Europe
8,Germany,"132,592",382,"3,592 ",97,"72,600","56,400","4,288","1,583",43,"1,317,887","15,730",Europe
9,UK,"98,476","4,603","12,868 ",761,N/A,"85,264","1,559","1,451",190,"398,916","5,876",Europe
10,China,"82,295",46,"3,342 ",1,"77,816","1,137",113,57,2,,,Asia
11,Iran,"76,389","1,512","4,777 ",94,"49,933","21,679","3,643",909,57,"299,204","3,562",Asia
12,Turkey,"65,111",,"1,403 ",,"4,799","58,909","1,809",772,17,"443,626","5,260",Asia
13, South America ,"58,761","1,072","2,546",35,"21,654","34,561","1,197",,,,,South America
14,Belgium,"33,573","2,454","4,440 ",283,"7,107","22,026","1,204","2,897",383,"128,132","11,056",Europe
15,Netherlands,"28,153",734,"3,134 ",189,250,"24,769","1,279","1,643",183,"134,972","7,877",Europe
16,Canada,"27,063",,903 ,,"8,235","17,925",557,717,24,"450,717","11,942",North America
17,Switzerland,"26,336",400,"1,226 ",52,"14,700","10,410",386,"3,043",142,"199,000","22,993",Europe
18,Brazil,"25,758",496,"1,557 ",25,"14,026","10,175",296,121,7,"62,985",296,South America
19,Russia,"24,490","3,388",198 ,28,"1,986","22,306",8,168,1,"1,517,992","10,402",Europe
20,Portugal,"18,091",643,599 ,32,383,"17,109",208,"1,774",59,"191,680","18,798",Europe
21, Africa ,"17,287",415,883,7,"3,449","12,955",178,,,,,Africa
22,Austria,"14,325",99,393 ,9,"8,098","5,834",232,"1,591",44,"156,801","17,410",Europe
23,Israel,"12,200",154,126 ,3,"2,309","9,765",176,"1,410",15,"117,339","13,557",Asia
24,Sweden,"11,927",482,"1,203 ",170,381,"10,343",954,"1,181",119,"74,600","7,387",Europe
25,India,"11,555",68,405 ,12,"1,432","9,718",,8,0.3,"244,893",177,Asia
26,Ireland,"11,479",,406 ,,77,"10,996",194,"2,325",82,"90,646","18,358",Europe
27,S. Korea,"10,591",27,225 ,3,"7,616","2,750",55,207,4,"534,552","10,426",Asia
28,Peru,"10,303",,230 ,,"2,869","7,204",132,312,7,"102,216","3,100",South America
29,Chile,"8,273",356,94 ,2,"2,646","5,533",387,433,5,"87,794","4,593",South America
30,Japan,"8,100",215,146 ,,853,"7,101",152,64,1,"89,551",708,Asia
31, Oceania ,"7,924",67,72,2,"4,415","3,437",80,,,,,Australia/Oceania
32,Ecuador,"7,603",,369 ,,696,"6,538",129,431,21,"25,347","1,437",South America
33,Poland,"7,408",206,268 ,5,668,"6,472",160,196,7,"156,493","4,135",Europe
34,Romania,"7,216",337,362 ,11,"1,217","5,637",245,375,19,"74,827","3,890",Europe
35,Norway,"6,740",117,145 ,6,32,"6,563",59,"1,243",27,"130,216","24,020",Europe
36,Denmark,"6,681",170,309 ,10,"2,748","3,624",89,"1,153",53,"77,712","13,417",Europe
37,Australia,"6,447",47,63 ,2,"3,686","2,698",76,253,2,"371,377","14,564",Australia/Oceania
38,Czechia,"6,151",40,163 ,2,676,"5,312",84,574,15,"137,409","12,831",Europe
39,Pakistan,"5,988",151,107 ,11,"1,446","4,435",46,27,0.5,"73,439",332,Asia
40,Saudi Arabia,"5,862",493,79 ,6,931,"4,852",71,168,2,"150,000","4,309",Asia
41,Philippines,"5,453",230,349 ,14,353,"4,751",1,50,3,"45,486",415,Asia
42,Mexico,"5,399",385,406 ,74,"2,125","2,868",207,42,3,"40,091",311,North America
43,Indonesia,"5,136",297,469 ,10,446,"4,221",,19,2,"36,000",132,Asia
44,Malaysia,"5,072",85,83 ,1,"2,647","2,342",56,157,3,"87,183","2,694",Asia
45,UAE,"4,933",,28 ,,933,"3,972",1,499,3,"648,195","65,538",Asia
46,Serbia,"4,873",408,99 ,5,400,"4,374",128,558,11,"26,278","3,008",Europe
47,Ukraine,"3,764",392,108 ,10,143,"3,513",45,86,2,"39,084",894,Europe
48,Belarus,"3,728",447,36 ,3,203,"3,489",68,395,4,"76,198","8,064",Europe
49,Qatar,"3,711",283,7 ,,406,"3,298",37,"1,288",2,"54,484","18,911",Asia
