"TL","Territory Level and Typology","REG_ID","Region","VAR","Indicator","SEX","Gender","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","AUT","Austria","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,106.91,,
"2","Large regions (TL2)","AT21","Carinthia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,59.88,,
"1","Country","BEL","Belgium","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,30451,,
"2","Large regions (TL2)","BE1","Brussels Capital Region","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,7441.31,,
"2","Large regions (TL2)","DED","Saxony","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,224.54,,
"2","Large regions (TL2)","HU32","Northern Great Plain","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,83.86,,
"1","Country","IRL","Ireland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,70.36,,
"2","Large regions (TL2)","NL13","Drenthe","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,184.24,,
"2","Large regions (TL2)","NL34","Zeeland","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,212.04,,
"2","Large regions (TL2)","NL42","Limburg","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,517.94,,
"2","Large regions (TL2)","UKJ","South East England","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,478.16,,
"2","Large regions (TL2)","ITF6","Calabria","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,15179,,
"2","Large regions (TL2)","SK04","East Slovakia","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,103.68,,
"2","Large regions (TL2)","ES23","La Rioja","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,5031,,
"2","Large regions (TL2)","ES42","Castile-La Mancha","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,25.69,,
"2","Large regions (TL2)","CZ02","Central Bohemian Region","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,126.21,,
"2","Large regions (TL2)","EL52","Central Macedonia","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,18501,,
"2","Large regions (TL2)","EL65","Peloponnese","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,15463,,
"2","Large regions (TL2)","RO21","North East","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,88.28,,
"2","Large regions (TL2)","RO22","South East","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,33670,,
"2","Large regions (TL2)","SI04","Western Slovenia","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,7812,,
"2","Large regions (TL2)","RO42","West","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,31849,,
"1","Country","BGR","Bulgaria","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,110001,,
"2","Large regions (TL2)","BG34","South East","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,53.05,,
"2","Large regions (TL2)","FRY3","French Guiana","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,83383,,
"2","Large regions (TL2)","FRM","Corsica","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,38.77,,
"2","Large regions (TL2)","MT00","Malta","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,1519.81,,
"2","Large regions (TL2)","PL72","Swietokrzyskie","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,105.9,,
"1","Country","FRA","France","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,633886,,
"2","Large regions (TL2)","UKF","East Midlands","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,15623,,
"2","Large regions (TL2)","UKI","Greater London","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,5665.07,,
"2","Large regions (TL2)","DE5","Bremen","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,391,,
"1","Country","GRC","Greece","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,82.59,,
"1","Country","HUN","Hungary","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,91248,,
"2","Large regions (TL2)","HU32","Northern Great Plain","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,17412,,
"2","Large regions (TL2)","NL31","Utrecht","POP_DEN","    Population density (pop. per km2)","T","Total","ALL","All regions","2018","2018","RATIO","Ratio","0","Units",,,922.05,,
"2","Large regions (TL2)","ITH5","Emilia-Romagna","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,22094,,
"2","Large regions (TL2)","CZ01","Prague","SURF","    Regional surface","T","Total","ALL","All regions","2018","2018","KM2","Square kilometres","0","Units",,,485,,
