,Country,Region,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
0,USA,USA Total,"616,168","2,282","26,200",153,"550,292","1,862",79,"3,125,346","9,442"
1,USA, New York ,"203,123 ", ," 10,834 ", ," 175,200 ","10,354",552," 499,143 ","25,443"
2,USA, New Jersey ,"68,824 ", ," 2,805 ", ," 64,748 ","7,749",316," 131,219 ","14,774"
3,USA, Massachusetts ,"28,163 ", , 957 , ," 26,477 ","4,123",140," 126,551 ","18,528"
4,USA, Michigan ,"27,001 ", ," 1,768  ", ," 24,790 ","2,712",178," 76,014 ","7,634"
5,USA, California ,"25,777 ", 241 , 789 ,7 ," 24,048 ",658,20," 212,900 ","5,438"
6,USA, Pennsylvania ,"25,465 ", , 696 , ," 24,119 ","1,991",54," 133,631 ","10,447"
7,USA, Illinois ,"23,247 ", , 868 , ," 22,329 ","1,813",68," 110,616 ","8,627"
8,USA, Florida ,"22,081 ", 453 , 591 ,20 ," 20,846 ","1,072",29," 205,413 ","9,972"
9,USA, Louisiana ,"21,518 ", ," 1,013 ", ," 20,455 ","4,614",217," 118,422 ","25,393"
10,USA, Texas ,"15,107 ", 94 , 350 ,5 ," 12,177 ",542,13," 146,467 ","5,253"
11,USA, Georgia ,"14,578 ", , 524 , ," 14,023 ","1,416",51," 61,795 ","6,001"
12,USA, Connecticut ,"13,989 ", , 671 , ," 13,253 ","3,906",187," 45,841 ","12,799"
13,USA, Washington ,"10,795 ", , 547 , ," 8,824 ","1,480",75," 122,854 ","16,842"
14,USA, Maryland ,"10,032 ", 560 , 349 ,47 ," 9,076 ","1,671",58," 55,763 ","9,289"
15,USA, Indiana ,"8,527 ", , 387 , ," 8,126 ","1,285",58," 46,017 ","6,933"
16,USA, Colorado ,"7,941 ", , 329 , ," 7,496 ","1,436",59," 39,580 ","7,156"
17,USA, Ohio ,"7,280 ", , 324 , ," 6,836 ",625,28," 67,874 ","5,830"
18,USA, Virginia ,"6,500 ", 329 , 195 ,41 ," 5,584 ",773,23," 44,169 ","5,250"
19,USA, Tennessee ,"5,823 ", , 124 , ," 3,730 ",875,19," 78,831 ","11,852"
20,USA, North Carolina ,"5,133 ", , 117 ,4 ," 4,133 ",505,12," 67,827 ","6,679"
21,USA, Missouri ,"4,714 ", , 142 , ," 4,388 ",774,23," 48,803 ","8,014"
22,USA, Alabama ,"4,006 ", 53 , 116 ,2 ," 3,870 ",823,24," 33,835 ","6,955"
23,USA, Arizona ,"3,806 ", , 131 , ," 3,635 ",548,19," 44,096 ","6,348"
24,USA, Wisconsin ,"3,555 ", , 170 , ," 3,298 ",615,29," 41,552 ","7,191"
25,USA, South Carolina ,"3,553 ", , 97 , ," 3,456 ",717,20," 33,872 ","6,835"
26,USA, Mississippi ,"3,360 ", 273 , 122 ,11 ," 3,238 ","1,124",41," 37,773 ","12,638"
27,USA, Rhode Island ,"3,251 ", , 80 , ," 3,161 ","3,077",76," 23,926 ","22,644"
