,Country,Data Type,Jan 22,Jan 23,Jan 24,Jan 25,Jan 26,Jan 27,Jan 28,Jan 29,Jan 30,Jan 31,Feb 01,Feb 02,Feb 03,Feb 04,Feb 05,Feb 06,Feb 07,Feb 08,Feb 09,Feb 10,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Feb 22,Feb 23,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Feb 29,Mar 01,Mar 02,Mar 03,Mar 04,Mar 05,Mar 06,Mar 07,Mar 08,Mar 09,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Mar 29,Mar 30,Mar 31,Apr 01,Apr 02,Apr 03,Apr 04,Apr 05,Apr 06,Apr 07,Apr 08,Apr 09,Apr 10,Apr 11,Apr 12,Apr 13,Apr 14
0,USA,Closed Cases - Death Rate,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,10,40,50,55,57.1400000000000005684341886080801486968994140625,50,55.88000000000000255795384873636066913604736328125,59.46000000000000085265128291212022304534912109375,63.409999999999996589394868351519107818603515625,66.6700000000000017053025658242404460906982421875,71.7000000000000028421709430404007434844970703125,83.6700000000000017053025658242404460906982421875,84.2099999999999937472239253111183643341064453125,53.77000000000000312638803734444081783294677734375,53.49000000000000198951966012828052043914794921875,53.7000000000000028421709430404007434844970703125,50.68999999999999772626324556767940521240234375,56.82000000000000028421709430404007434844970703125,64.9800000000000039790393202565610408782958984375,62.96000000000000085265128291212022304534912109375,63.36999999999999744204615126363933086395263671875,69.5799999999999982946974341757595539093017578125,64.8799999999999954525264911353588104248046875,66.2999999999999971578290569595992565155029296875,71.2900000000000062527760746888816356658935546875,40.6400000000000005684341886080801486968994140625,39.86999999999999744204615126363933086395263671875,40.469999999999998863131622783839702606201171875,36.06000000000000227373675443232059478759765625,36.219999999999998863131622783839702606201171875,35.75999999999999801048033987171947956085205078125,36.39999999999999857891452847979962825775146484375,36.72999999999999687361196265555918216705322265625,36.57000000000000028421709430404007434844970703125,36.2000000000000028421709430404007434844970703125,34.77000000000000312638803734444081783294677734375,35.43999999999999772626324556767940521240234375,37.03999999999999914734871708787977695465087890625,39.280000000000001136868377216160297393798828125,39.18999999999999772626324556767940521240234375,40.7000000000000028421709430404007434844970703125,40.32000000000000028421709430404007434844970703125,40.38000000000000255795384873636066913604736328125,39.02000000000000312638803734444081783294677734375,40.14999999999999857891452847979962825775146484375
1,USA,Closed Cases - Recovery Rate,,,,,,,,,,,,,,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,87.5,90,60,50,45,42.8599999999999994315658113919198513031005859375,50,44.11999999999999744204615126363933086395263671875,40.53999999999999914734871708787977695465087890625,36.590000000000003410605131648480892181396484375,33.3299999999999982946974341757595539093017578125,28.300000000000000710542735760100185871124267578125,16.3299999999999982946974341757595539093017578125,15.78999999999999914734871708787977695465087890625,46.22999999999999687361196265555918216705322265625,46.50999999999999801048033987171947956085205078125,46.2999999999999971578290569595992565155029296875,49.31000000000000227373675443232059478759765625,43.17999999999999971578290569595992565155029296875,35.02000000000000312638803734444081783294677734375,37.03999999999999914734871708787977695465087890625,36.63000000000000255795384873636066913604736328125,30.4200000000000017053025658242404460906982421875,35.11999999999999744204615126363933086395263671875,33.7000000000000028421709430404007434844970703125,28.71000000000000085265128291212022304534912109375,59.3599999999999994315658113919198513031005859375,60.13000000000000255795384873636066913604736328125,59.530000000000001136868377216160297393798828125,63.93999999999999772626324556767940521240234375,63.780000000000001136868377216160297393798828125,64.2399999999999948840923025272786617279052734375,63.60000000000000142108547152020037174224853515625,63.27000000000000312638803734444081783294677734375,63.42999999999999971578290569595992565155029296875,63.7999999999999971578290569595992565155029296875,65.2300000000000039790393202565610408782958984375,64.56000000000000227373675443232059478759765625,62.96000000000000085265128291212022304534912109375,60.719999999999998863131622783839702606201171875,60.81000000000000227373675443232059478759765625,59.2999999999999971578290569595992565155029296875,59.67999999999999971578290569595992565155029296875,59.61999999999999744204615126363933086395263671875,60.97999999999999687361196265555918216705322265625,59.85000000000000142108547152020037174224853515625
2,USA,Cumulative Confirmed (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,35,35,35,53,57,60,60,63,68,75,100,124,158,221,319,435,541,704,994,1301,1630,2183,2770,3613,4596,6346,9296,13865,19497,24345,33745,44056,55222,68673,86061,104804,124256,144321,165053,189967,216622,246729,279183,313379,338779,370019,403521,435518,469124,502876,532879,560300,586941,613886
3,USA,Cumulative Confirmed (Linear),,,,,,,,,,,,,,,,,,,,,,,,,15,15,15,15,15,15,35,35,35,53,57,60,60,63,68,75,100,124,158,221,319,435,541,704,994,1301,1630,2183,2770,3613,4596,6346,9296,13865,19497,24345,33745,44056,55222,68673,86061,104804,124256,144321,165053,189967,216622,246729,279183,313379,338779,370019,403521,435518,469124,502876,532879,560300,586941,613886
4,USA,Daily New Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,null,0,0,0,0,0,20,0,0,18,4,3,0,3,5,7,25,24,34,63,98,116,106,163,290,307,329,553,587,843,983,1750,2950,4569,5632,4848,9400,10311,11166,13451,17388,18743,19452,20065,20732,24914,26655,30107,32454,34196,25400,31240,33502,31997,33606,33752,30003,27421,26641,26945
5,USA,Daily Current Active Cases,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,12,12,10,29,29,28,48,51,54,54,57,60,65,85,106,138,200,289,401,504,663,949,1248,1581,2126,2664,3484,4434,6129,9032,13548,19092,23870,33150,43199,54044,67231,82872,100548,118766,137133,156355,178601,202573,230155,259663,289987,311068,339277,368778,397816,426484,456815,481849,505561,526353,549019
6,USA,Cumulative Deaths (Logarithmic),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,11,12,15,19,22,26,30,38,41,48,57,69,87,110,150,206,255,301,414,556,781,1028,1296,1697,2222,2592,3150,4064,5114,6088,7139,8469,9636,10895,12868,14811,16712,18747,20577,22105,23640,26047
7,USA,Cumulative Deaths (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,9,11,12,15,19,22,26,30,38,41,48,57,69,87,110,150,206,255,301,414,556,781,1028,1296,1697,2222,2592,3150,4064,5114,6088,7139,8469,9636,10895,12868,14811,16712,18747,20577,22105,23640,26047
8,USA,Daily New Deaths,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,2,1,3,4,3,4,4,8,3,7,9,12,18,23,40,56,49,46,113,142,225,247,268,401,525,370,558,914,1050,974,1051,1330,1167,1259,1973,1943,1901,2035,1830,1528,1535,2407
9,Spain,Current Active Cases (Linear),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,7,11,23,31,56,82,118,162,224,276,387,485,625,1169,1524,2039,2871,4906,5678,7177,9070,10265,13050,16139,18890,21990,24421,29470,35273,40501,46406,51224,54968,58598,63460,68200,72084,74974,77488,80002,80925,82897,84689,85407,85610,86524,87312,87231,87616,88301
