,#,Country (or dependency),Region,Population (2020),Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
0,1,China,All_Regions,"1,439,323,776",0.39 %,"5,540,090",153,"9,388,211","-348,399",1.7,38,61 %,18.47 %
1,1.5,China,Nanchang,"2,357,839",,,,,,,,,
1,1.5,China,Xi'an,"6,501,190",,,,,,,,,
1,1.5,China,Guangzhou,"11,071,424",,,,,,,,,
1,1.5,China,Lijiang,"1,137,600",,,,,,,,,
1,1.5,China,Xiamen,"3,531,347",,,,,,,,,
1,1.5,China,Taiyuan,"3,426,519",,,,,,,,,
1,1.5,China,Chongqing,"7,457,600",,,,,,,,,
1,1.5,China,Tai'an,"5,499,000",,,,,,,,,
1,1.5,China,Shantou,"5,329,024",,,,,,,,,
1,1.5,China,Wuhan,"9,785,388",,,,,,,,,
1,1.5,China,Zhengzhou,"4,253,913",,,,,,,,,
1,1.5,China,Ningbo,"3,491,597",,,,,,,,,
1,1.5,China,Hefei,"3,310,268",,,,,,,,,
1,1.5,China,Beijing,"11,716,620",,,,,,,,,
1,1.5,China,Nanjing,"7,165,292",,,,,,,,,
1,1.5,China,Benxi,"987,717",,,,,,,,,
1,1.5,China,Bayan Nur,"1,760,000",,,,,,,,,
1,1.5,China,Xinyang,"1,590,668",,,,,,,,,
1,1.5,China,Fuzhou,"1,179,720",,,,,,,,,
1,1.5,China,Anshan,"1,199,275",,,,,,,,,
1,1.5,China,Urumqi,"3,029,372",,,,,,,,,
1,1.5,China,Hangzhou,"6,241,971",,,,,,,,,
1,1.5,China,Luoyang,"1,390,581",,,,,,,,,
1,1.5,China,Huainan,"1,027,655",,,,,,,,,
1,1.5,China,Huaibei,"903,039",,,,,,,,,
1,1.5,China,Puyang,"3,590,000",,,,,,,,,
1,1.5,China,Qingdao,"3,718,835",,,,,,,,,
1,1.5,China,Dalian,"4,087,733",,,,,,,,,
1,1.5,China,Changshu City,"1,047,700",,,,,,,,,
1,1.5,China,Ordos,"1,940,653",,,,,,,,,
1,1.5,China,Zhu Cheng City,"1,000,000",,,,,,,,,
1,1.5,China,Zhongshan,"3,121,275",,,,,,,,,
1,1.5,China,Lanzhou,"2,628,426",,,,,,,,,
1,1.5,China,Xuchang,"1,265,536",,,,,,,,,
1,1.5,China,Handan,"1,358,318",,,,,,,,,
1,1.5,China,Tangshan,"3,372,102",,,,,,,,,
1,1.5,China,Shenyang,"6,255,921",,,,,,,,,
1,1.5,China,Baotou,"1,301,768",,,,,,,,,
1,1.5,China,Wuxi,"3,543,719",,,,,,,,,
1,1.5,China,Fushun,"1,400,646",,,,,,,,,
1,1.5,China,Guiyang,"1,171,633",,,,,,,,,
1,1.5,China,Dadonghai,"2,000,000",,,,,,,,,
1,1.5,China,Tianshui,"3,500,000",,,,,,,,,
1,1.5,China,Shanghai,"22,315,474",,,,,,,,,
1,1.5,China,Tongshan,"1,199,193",,,,,,,,,
1,1.5,China,Yueyang,"1,200,000",,,,,,,,,
1,1.5,China,Guankou,"1,380,000",,,,,,,,,
1,1.5,China,Shenzhen,"10,358,381",,,,,,,,,
1,1.5,China,Shijiazhuang,"2,834,942",,,,,,,,,
1,1.5,China,Dongguan,"8,000,000",,,,,,,,,
1,1.5,China,Changchun,"4,193,073",,,,,,,,,
1,1.5,China,Changzhou,"949,018",,,,,,,,,
1,1.5,China,Baoding,"995,652",,,,,,,,,
1,1.5,China,Changsha,"3,093,980",,,,,,,,,
1,1.5,China,Datong,"1,052,678",,,,,,,,,
1,1.5,China,Xianyang,"1,034,081",,,,,,,,,
1,1.5,China,Jinan,"4,335,989",,,,,,,,,
1,1.5,China,Shiyan,"3,460,000",,,,,,,,,
1,1.5,China,Zibo,"3,129,228",,,,,,,,,
1,1.5,China,Yunfu,"2,612,800",,,,,,,,,
1,1.5,China,Nanchong,"7,150,000",,,,,,,,,
1,1.5,China,Foshan,"3,600,000",,,,,,,,,
1,1.5,China,Chengdu,"7,415,590",,,,,,,,,
1,1.5,China,Kunshan,"1,600,000",,,,,,,,,
1,1.5,China,Harbin,"5,878,939",,,,,,,,,
1,1.5,China,Tianjin,"11,090,314",,,,,,,,,
1,1.5,China,Jilin,"1,881,977",,,,,,,,,
1,1.5,China,Kunming,"3,855,346",,,,,,,,,
1,1.5,China,Suzhou,"5,345,961",,,,,,,,,
1,1.5,China,Jieyang,"1,001,985",,,,,,,,,
9,10,Mexico,All_Regions,"128,932,753",1.06 %,"1,357,224",66,"1,943,950","-60,000",2.1,29,84 %,1.65 %
10,10.5,Mexico,Xico,"356,352",,,,,,,,,
10,10.5,Mexico,Guadalajara,"1,495,182",,,,,,,,,
10,10.5,Mexico,Ciudad Nezahualcoyotl,"1,104,585",,,,,,,,,
10,10.5,Mexico,Mazatlan,"381,583",,,,,,,,,
10,10.5,Mexico,Cuauhtemoc,"531,831",,,,,,,,,
10,10.5,Mexico,Tepic,"332,863",,,,,,,,,
10,10.5,Mexico,Nicolas Romero,"281,799",,,,,,,,,
10,10.5,Mexico,Reynosa,"589,466",,,,,,,,,
10,10.5,Mexico,Toluca,"489,333",,,,,,,,,
10,10.5,Mexico,Saltillo,"709,671",,,,,,,,,
10,10.5,Mexico,Naucalpan de Juarez,"792,211",,,,,,,,,
10,10.5,Mexico,Alvaro Obregon,"726,664",,,,,,,,,
10,10.5,Mexico,Tampico,"309,003",,,,,,,,,
10,10.5,Mexico,Benito Juarez,"385,439",,,,,,,,,
10,10.5,Mexico,Acapulco de Juarez,"673,479",,,,,,,,,
10,10.5,Mexico,Coacalco,"277,959",,,,,,,,,
10,10.5,Mexico,Celaya,"340,387",,,,,,,,,
10,10.5,Mexico,Culiacan,"675,773",,,,,,,,,
10,10.5,Mexico,Coyoacan,"620,416",,,,,,,,,
10,10.5,Mexico,Nuevo Laredo,"373,725",,,,,,,,,
10,10.5,Mexico,Torreon,"608,836",,,,,,,,,
10,10.5,Mexico,Tlahuac,"305,076",,,,,,,,,
10,10.5,Mexico,Iztapalapa,"1,815,786",,,,,,,,,
10,10.5,Mexico,Leon de los Aldama,"1,238,962",,,,,,,,,
10,10.5,Mexico,Chihuahua,"809,232",,,,,,,,,
10,10.5,Mexico,Cuernavaca,"338,650",,,,,,,,,
10,10.5,Mexico,Cuautitlan Izcalli,"484,573",,,,,,,,,
10,10.5,Mexico,Zapopan,"1,142,483",,,,,,,,,
10,10.5,Mexico,Aguascalientes,"722,250",,,,,,,,,
10,10.5,Mexico,Tonala,"408,759",,,,,,,,,
10,10.5,Mexico,Mexico City,"12,294,193",,,,,,,,,
10,10.5,Mexico,Cancun,"628,306",,,,,,,,,
