Id,Country_Region,Province_State,Date,ConfirmedCases,Fatalities,country+province,Lat,Long,day_from_jan_first,temp,min,max,stp,slp,dewp,rh,ah,wdsp,prcp,fog
1,Afghanistan,,2020-01-22,0.0,0.0,Afghanistan-,33.0,65.0,22,42.6,33.6,54.9,999.9,1024.3,27.4,0.5457088951690613,0.18644830513659869,9.4,0.0,0
2,Afghanistan,,2020-01-23,0.0,0.0,Afghanistan-,33.0,65.0,23,42.0,32.7,55.9,999.9,1020.8,22.8,0.46125945668164914,0.16322475754625712,14.9,99.99,1
3,Afghanistan,,2020-01-24,0.0,0.0,Afghanistan-,33.0,65.0,24,40.1,36.9,43.2,999.9,1018.6,34.5,0.801794165706993,0.3253754750121081,10.4,0.17,1
4,Afghanistan,,2020-01-25,0.0,0.0,Afghanistan-,33.0,65.0,25,46.0,37.9,56.3,999.9,1018.0,37.8,0.7281749416929073,0.21456240031432358,6.1,0.57,1
5,Afghanistan,,2020-01-26,0.0,0.0,Afghanistan-,33.0,65.0,26,42.8,36.1,53.1,999.9,1014.8,33.2,0.6855131474327004,0.23165613937001378,10.8,0.0,1
6,Afghanistan,,2020-01-27,0.0,0.0,Afghanistan-,33.0,65.0,27,43.0,36.5,50.7,999.9,1015.7,35.6,0.7486847041897151,0.25032472009065315,3.7,0.04,0
7,Afghanistan,,2020-01-28,0.0,0.0,Afghanistan-,33.0,65.0,28,41.7,34.7,48.2,999.9,1016.9,34.7,0.7595143724371821,0.2738824268446929,2.4,0.0,0
8,Afghanistan,,2020-01-29,0.0,0.0,Afghanistan-,33.0,65.0,29,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435315421,-0.035772858866873564,2.4,0.0,0
9,Afghanistan,,2020-01-30,0.0,0.0,Afghanistan-,33.0,65.0,30,15.2,13.3,16.9,774.1,1024.7,0.2,0.509437435315421,-0.035772858866873564,2.4,0.0,0
10,Afghanistan,,2020-01-31,0.0,0.0,Afghanistan-,33.0,65.0,31,5.6,4.8,7.7,774.4,1031.0,-0.6,0.7516883877522729,-0.021931256185362586,1.9,0.0,1
11,Afghanistan,,2020-02-01,0.0,0.0,Afghanistan-,33.0,65.0,32,5.6,4.8,7.7,774.4,1031.0,-0.6,0.7516883877522729,-0.021931256185362586,1.9,0.0,1
12,Afghanistan,,2020-02-02,0.0,0.0,Afghanistan-,33.0,65.0,33,20.5,3.9,36.0,773.4,1020.7,12.6,0.7109007390342748,-0.09156362868668275,4.5,1.73,1
13,Afghanistan,,2020-02-03,0.0,0.0,Afghanistan-,33.0,65.0,34,20.5,3.9,36.0,773.4,1020.7,12.6,0.7109007390342748,-0.09156362868668275,4.5,1.73,1
14,Afghanistan,,2020-02-04,0.0,0.0,Afghanistan-,33.0,65.0,35,4.2,-0.6,12.9,775.4,1033.3,-1.3,0.7753537963920739,-0.020155895337916858,3.3,0.0,1
15,Afghanistan,,2020-02-05,0.0,0.0,Afghanistan-,33.0,65.0,36,4.2,-0.6,12.9,775.4,1033.3,-1.3,0.7753537963920739,-0.020155895337916858,3.3,0.0,1
16,Afghanistan,,2020-02-06,0.0,0.0,Afghanistan-,33.0,65.0,37,43.1,29.1,58.1,999.9,1020.9,22.0,0.4274606105839407,0.14218126349746132,1.7,0.0,0
17,Afghanistan,,2020-02-07,0.0,0.0,Afghanistan-,33.0,65.0,38,44.5,31.6,60.3,999.9,1022.4,18.4,0.34763824125723863,0.10834724564299442,5.7,0.0,0
18,Afghanistan,,2020-02-08,0.0,0.0,Afghanistan-,33.0,65.0,39,47.8,34.5,63.5,999.9,1021.2,17.2,0.29126597263512105,0.08141187036701969,7.7,0.0,0
19,Afghanistan,,2020-02-09,0.0,0.0,Afghanistan-,33.0,65.0,40,36.9,31.1,42.1,773.3,1011.0,29.4,0.7399464628692105,0.43779544577054297,4.3,0.08,1
20,Afghanistan,,2020-02-10,0.0,0.0,Afghanistan-,33.0,65.0,41,36.9,31.1,42.1,773.3,1011.0,29.4,0.7399464628692105,0.43779544577054297,4.3,0.08,1
21,Afghanistan,,2020-02-11,0.0,0.0,Afghanistan-,33.0,65.0,42,39.5,32.7,47.7,771.4,1007.1,31.0,0.7130015658330401,0.30525757904268624,6.7,0.12,1
22,Afghanistan,,2020-02-12,0.0,0.0,Afghanistan-,33.0,65.0,43,39.0,30.0,46.0,772.2,1008.4,29.2,0.67573794895638,0.30396452990480655,10.1,0.04,1
23,Afghanistan,,2020-02-13,0.0,0.0,Afghanistan-,33.0,65.0,44,23.1,13.6,37.8,780.1,1027.9,12.7,0.6398440795805027,-0.11883370896600334,5.6,1.81,1
24,Afghanistan,,2020-02-14,0.0,0.0,Afghanistan-,33.0,65.0,45,24.2,11.3,35.1,779.8,1026.8,7.4,0.48273981747854355,-0.10711913307450464,7.2,0.0,0
25,Afghanistan,,2020-02-15,0.0,0.0,Afghanistan-,33.0,65.0,46,26.3,19.6,35.8,780.7,1026.8,16.2,0.6523048512870068,-0.21613525587166196,5.6,0.0,0
26,Afghanistan,,2020-02-16,0.0,0.0,Afghanistan-,33.0,65.0,47,24.2,17.4,33.1,783.2,1031.3,11.9,0.5899108737041803,-0.13090020564799182,4.7,0.0,0
27,Afghanistan,,2020-02-17,0.0,0.0,Afghanistan-,33.0,65.0,48,32.9,28.2,41.4,782.4,1025.2,15.1,0.47517209084347717,1.3050948693083873,5.9,0.0,0
28,Afghanistan,,2020-02-18,0.0,0.0,Afghanistan-,33.0,65.0,49,32.8,24.6,46.2,779.3,1021.2,21.5,0.6276443610596815,1.9315732055165578,6.5,0.04,1
29,Afghanistan,,2020-02-19,0.0,0.0,Afghanistan-,33.0,65.0,50,23.9,16.2,33.1,778.6,1025.4,12.1,0.6026404991313725,-0.12716827312889764,5,0.04,1
30,Afghanistan,,2020-02-20,0.0,0.0,Afghanistan-,33.0,65.0,51,26.0,12.9,38.3,778.5,1024.1,10.1,0.5054313367660181,-0.15713308358568187,7.2,0.0,0
31,Afghanistan,,2020-02-21,0.0,0.0,Afghanistan-,33.0,65.0,52,34.5,22.6,44.4,778.5,1019.1,23.1,0.6271705674186959,0.661173584971408,6.4,0.0,1
32,Afghanistan,,2020-02-22,0.0,0.0,Afghanistan-,33.0,65.0,53,37.9,26.4,52.0,781.1,1020.7,22.4,0.532220261051213,0.2720383486792772,5.6,0.0,1
33,Afghanistan,,2020-02-23,0.0,0.0,Afghanistan-,33.0,65.0,54,39.3,28.2,50.2,779.4,1017.7,23.8,0.534254227070605,0.23316677815725376,6.4,0.0,1
34,Afghanistan,,2020-02-24,1.0,0.0,Afghanistan-,33.0,65.0,55,40.0,32.4,48.0,778.4,1015.9,32.7,0.7489051968209337,0.3065142347289721,4,0.47,1
35,Afghanistan,,2020-02-25,1.0,0.0,Afghanistan-,33.0,65.0,56,40.2,32.9,47.5,778.1,1015.4,28.2,0.618932608193432,0.24907428149226202,5.8,0.0,1
36,Afghanistan,,2020-02-26,1.0,0.0,Afghanistan-,33.0,65.0,57,46.7,35.2,55.9,775.4,1008.4,28.2,0.48212052809932465,0.13893939511813258,6.2,0.0,1
37,Afghanistan,,2020-02-27,1.0,0.0,Afghanistan-,33.0,65.0,58,39.3,33.4,48.0,772.6,1008.7,33.4,0.791610444205141,0.34548581457747113,5.8,1.57,1
38,Afghanistan,,2020-02-28,1.0,0.0,Afghanistan-,33.0,65.0,59,36.5,29.5,44.8,773.4,1011.4,29.9,0.7672250293284657,0.48652735620664794,2.8,0.47,1
39,Afghanistan,,2020-02-29,1.0,0.0,Afghanistan-,33.0,65.0,60,36.5,29.5,44.8,773.4,1011.4,29.9,0.7672250293284657,0.48652735620664794,2.8,0.47,1
40,Afghanistan,,2020-03-01,1.0,0.0,Afghanistan-,33.0,65.0,61,58.6,45.7,73.4,999.9,1014.2,31.0,0.3480095577671416,0.08606886627143409,1.4,0.0,0
41,Afghanistan,,2020-03-02,1.0,0.0,Afghanistan-,33.0,65.0,62,36.3,32.2,48.7,771.7,1009.2,31.3,0.8185536659020095,0.5389348943860452,5.8,0.0,1
42,Afghanistan,,2020-03-03,1.0,0.0,Afghanistan-,33.0,65.0,63,36.3,32.2,48.7,771.7,1009.2,31.3,0.8185536659020095,0.5389348943860452,5.8,0.0,1
43,Afghanistan,,2020-03-04,1.0,0.0,Afghanistan-,33.0,65.0,64,35.4,28.4,47.7,771.1,1008.9,28.0,0.741539134894955,0.595797780222067,3.4,0.35,1
44,Afghanistan,,2020-03-05,1.0,0.0,Afghanistan-,33.0,65.0,65,31.9,27.3,38.5,772.6,1012.9,23.9,0.7198916977687995,-17.092495672440833,5.1,1.57,1
45,Afghanistan,,2020-03-06,1.0,0.0,Afghanistan-,33.0,65.0,66,34.1,25.2,45.0,773.5,1012.8,20.7,0.575927068684808,0.7113395391157701,4.6,0.0,1
46,Afghanistan,,2020-03-07,1.0,0.0,Afghanistan-,33.0,65.0,67,25.0,18.1,34.7,774.9,1019.9,11.3,0.5556473612069087,-0.1420461688656697,6.6,0.0,1
47,Afghanistan,,2020-03-08,4.0,0.0,Afghanistan-,33.0,65.0,68,28.6,16.5,42.1,774.7,1017.5,10.0,0.45208924187519617,-0.2760632296460162,3.6,0.0,1
48,Afghanistan,,2020-03-09,4.0,0.0,Afghanistan-,33.0,65.0,69,31.1,23.0,41.9,774.0,1015.2,22.2,0.692369400526288,-1.7684095451515638,4.4,0.0,1
49,Afghanistan,,2020-03-10,5.0,0.0,Afghanistan-,33.0,65.0,70,28.9,24.3,39.0,773.3,1015.6,17.0,0.6067461655542109,-0.4113778956908077,5.3,0.12,1
50,Afghanistan,,2020-03-11,7.0,0.0,Afghanistan-,33.0,65.0,71,26.7,21.7,32.9,772.3,1015.6,16.7,0.6556218175845426,-0.23752386181021676,3.9,0.0,1
51,Afghanistan,,2020-03-12,7.0,0.0,Afghanistan-,33.0,65.0,72,30.7,16.9,47.7,775.4,1017.3,20.4,0.6521156755985268,-1.1345538300934277,2.9,0.0,1
52,Afghanistan,,2020-03-13,7.0,0.0,Afghanistan-,33.0,65.0,73,35.7,24.3,53.1,778.8,1019.0,18.4,0.4898986275893226,0.36603799203714305,3,0.0,1
